posting_id,title,company,location,description,posted_date,salary_range,source
JOB00160,Data Analyst (Fresher),Russell-Daniels Consulting,Gurugram,"The ideal candidate is proficient in Tableau, Data Warehousing, Snowflake, SQL and can translate business questions into data-driven answers. Experience with VBA, Power BI is a plus.","16 September, 2025",₹3L - ₹4L PA,LinkedInSim
JOB00461,Marketing Data Analyst,Strickland-Shaw Consulting,bangalore,"Marketing Data Analyst needed for a fast-paced fintech startup. Core stack: ETL, PostgreSQL, Airflow, SQL, Python. Bonus points for Snowflake exposure.",16-Sep-2025,₹3L - ₹4L PA,InternshalaSim
JOB00286,Marketing Data Analyst,Bowen Group Systems,Bengaluru,"Join our growing data team! Skills needed: Excel, Communication Skills, VBA, PowerPoint. Freshers with strong Pandas fundamentals encouraged to apply.",Nov 2025,Rs 5L to 6L per annum,LinkedInSim
JOB00250,Data Analyst (Fresher),Ruiz Ltd Analytics,Hyderabad,"The ideal candidate is proficient in Tableau, Data Warehousing, Snowflake, SQL and can translate business questions into data-driven answers. Experience with Pandas is a plus.",2026-05-21,8-9 LPA,LinkedInSim
JOB00393,Reporting Analyst,Webster Inc Softwares,Remote - India,"Join our growing data team! Skills needed: Statistics, Pandas, A/B Testing, Python, Machine Learning. Freshers with strong AWS, Tableau fundamentals encouraged to apply.",Apr 2026,Rs 5L to 7L per annum,IndeedSim
JOB00742,Product Analyst,Jacobson Inc Softwares,noida ,"Product Analyst needed for a fast-paced fintech startup. Core stack: ETL, PostgreSQL, Airflow, SQL, Python. Bonus points for Advanced Excel exposure.",16/08/2025,,NaukriSim
JOB00733,Analytics Associate,Adams-Sanders Consulting,mumbai ,"Join our growing data team! Skills needed: Excel, Communication Skills, VBA, PowerPoint. Freshers with strong Stakeholder Management, Python, PostgreSQL fundamentals encouraged to apply.",16/06/2026,,NaukriSim
JOB00113,BI Analyst,Rodriguez Brennan and Garrison Digital,remote,"We are looking for a BI Analyst to join our analytics team. Must have hands-on experience with Excel, Communication Skills, VBA, PowerPoint. Prior internship experience preferred.",2025-12-26,Rs 4L to 7L per annum,IndeedSim
JOB00131,Reporting Analyst,Parker Ortiz and Powell Labs,delhi ncr,"Join our growing data team! Skills needed: Stakeholder Management, Excel, Power BI, SQL. Freshers with strong Advanced Excel fundamentals encouraged to apply.","28 August, 2025",₹3L - ₹5L PA,InternshalaSim
JOB00693,BI Analyst,Thomas Ford and Brown Technologies,Remote,"Join our growing data team! Skills needed: Stakeholder Management, Excel, Power BI, SQL. Freshers with strong Pandas fundamentals encouraged to apply.","13 April, 2026",₹5L - ₹6L PA,LinkedInSim
JOB00244,Junior Data Analyst,Lyons-Bender Digital,Gurgaon,"The ideal candidate is proficient in Excel, Communication Skills, VBA, PowerPoint and can translate business questions into data-driven answers. Experience with Power BI is a plus.",2026-03-02,,IndeedSim
JOB00384,Analytics Associate,Gallegos Adams and White Analytics,Remote,"Analytics Associate needed for a fast-paced fintech startup. Core stack: Stakeholder Management, Excel, Power BI, SQL. Bonus points for Pandas, NumPy, MySQL exposure.","12 March, 2026",Rs 7L to 9L per annum,InternshalaSim
JOB00219,Data Analyst - Entry Level,Williams-Brown Labs,Hyderabad,"Data Analyst - Entry Level needed for a fast-paced fintech startup. Core stack: Statistics, Pandas, A/B Testing, Python, Machine Learning. Bonus points for Looker, VBA exposure.","02 August, 2025",,NaukriSim
